hotel,cidade,preço,checkin,checkout,dist_centro,dist_praia,avaliacao,qtnd_avaliacoes,data_extracao
Apartamento no Coração de Recife 3 Centro,Recife,961,2025-07-1,2025-07-8,0.45,2.9,10.0,2,2024-6-6
Flat- Boa Viagem- Recife -Pernambuco,Recife,1008,2025-07-1,2025-07-8,6.8,None,10.0,1,2024-6-6
Apartamento Lagoa do Araçá,Recife,669,2025-07-1,2025-07-8,5.2,None,None,None,2024-6-6
Flat Vista Mar em Boa Viagem,Recife,838,2025-07-1,2025-07-8,4.7,None,None,None,2024-6-6
Apartamento em Boa Viagem,Recife,2100,2025-07-1,2025-07-8,9.0,0.5,7.7,6,2024-6-6
Apartamento aconchegante no centro,Recife,876,2025-07-1,2025-07-8,0.3,None,None,None,2024-6-6
Flat Beira Mar Beach Class,Recife,1747,2025-07-1,2025-07-8,4.3,0.1,6.8,4,2024-6-6
Motel Tijuca,Recife,686,2025-07-1,2025-07-8,16.5,None,None,None,2024-6-6
Flat a 100 metros da praia - Bairro de Boa Viagem,Recife,1001,2025-07-1,2025-07-8,10.2,None,None,None,2024-6-6
03 Flat Golden Home Boa Viagem,Recife,1134,2025-07-1,2025-07-8,6.2,None,10.0,1,2024-6-6
Apartamento em boa viagem,Recife,1785,2025-07-1,2025-07-8,7.9,1.1,9.4,38,2024-6-6
Charmoso e Aconchegante,Recife,1960,2025-07-1,2025-07-8,7.3,0.5,9.5,24,2024-6-6
Paiva (Barra Home Stay) Luxuoso - vista incrível 26 andar,Recife,1389,2025-07-1,2025-07-8,19.5,0.0,9.4,26,2024-6-6
BAIA DE MESQUITA,Recife,1260,2025-07-1,2025-07-8,6.0,None,None,None,2024-6-6
QUARTO ARCO-ÍRES-TRIPLO CONFORTO E PRIVACIDADE- Bairro do Espinheiro -RECIFE- PERNAMBUCO,Recife,714,2025-07-1,2025-07-8,1.9,None,10.0,1,2024-6-6
Eclipse Motel,Recife,774,2025-07-1,2025-07-8,6.5,None,6.1,14,2024-6-6
Apartamento no Derby,Recife,1575,2025-07-1,2025-07-8,1.6,None,None,None,2024-6-6
Flat completo e aconchegante,Recife,1114,2025-07-1,2025-07-8,4.0,None,10.0,1,2024-6-6
Apartamento com vista para o Mar e Piscina na cobertura,Recife,1120,2025-07-1,2025-07-8,4.5,None,None,None,2024-6-6
Flat Brisa - Hotel Mercure Navegantes,Recife,2375,2025-07-1,2025-07-8,7.0,None,None,None,2024-6-6
Studio D'Roma em Boa Viagem,Recife,1260,2025-07-1,2025-07-8,7.7,0.6,8.5,2,2024-6-6
flat 403 Av boa viagem,Recife,714,2025-07-1,2025-07-8,5.7,None,None,None,2024-6-6
Apartamento 502 de frente para o Mar e Piscina na cobertura,Recife,1680,2025-07-1,2025-07-8,4.5,None,None,None,2024-6-6
Beach Class Boa Viagem - Apartamento em Hotel Transamerica 5 Estrelas Vista para o Mar,Recife,2023,2025-07-1,2025-07-8,4.3,None,10.0,1,2024-6-6
Flat Mar Azul e Sol Dourado,Recife,1428,2025-07-1,2025-07-8,13.6,0.0,None,None,2024-6-6
Studio 1401 Praia de Boa Viagem,Recife,1428,2025-07-1,2025-07-8,9.3,0.0,None,None,2024-6-6
Apartamento de 2 quartos no melhor de Boa Viagem,Recife,1357,2025-07-1,2025-07-8,8.6,None,None,None,2024-6-6
Flat Pé-na-areia! Um refúgio a Beira-mar! Vista deslumbrante!,Recife,1003,2025-07-1,2025-07-8,14.3,0.0,5.0,2,2024-6-6
Apartamento mobiliado e confortável em candeias,Recife,2741,2025-07-1,2025-07-8,16.8,0.0,9.5,132,2024-6-6
Marbelo Pernambuco Hostel,Recife,1637,2025-07-1,2025-07-8,0.4,2.8,8.5,2,2024-6-6
Aptº. Beira Mar com Vista Mar.,Recife,2380,2025-07-1,2025-07-8,10.9,0.0,None,None,2024-6-6
Apartamento com Vista Deslumbrante à Beira Mar.,Recife,1339,2025-07-1,2025-07-8,19.5,0.0,9.7,6,2024-6-6
Casa Aeroporto Pousada,Recife,829,2025-07-1,2025-07-8,9.2,1.6,6.3,504,2024-6-6
Flat - Boa viagem- Recife - Poucos metros da praia,Recife,1575,2025-07-1,2025-07-8,10.2,0.5,9.5,2,2024-6-6
Apartamento agradável de dois quartos perto do Aeroporto e Praia de Boa Viagem.,Recife,1779,2025-07-1,2025-07-8,9.6,0.4,10.0,3,2024-6-6
boa viagem vista mar,Recife,2450,2025-07-1,2025-07-8,8.7,0.35,9.5,21,2024-6-6
Apto com vista para o mar de Boa Viagem,Recife,1330,2025-07-1,2025-07-8,10.0,None,None,None,2024-6-6
Flat moderno em Boa viagem - Recife (6º andar),Recife,1666,2025-07-1,2025-07-8,6.4,0.55,9.3,4,2024-6-6
Flat Beira Mar Recife - Praia de Piedade,Recife,4480,2025-07-1,2025-07-8,12.6,0.0,9.1,18,2024-6-6
O Flat Beira Mar de Piedade,Recife,1680,2025-07-1,2025-07-8,12.5,None,None,None,2024-6-6
Apart hotel c WiFi prox a Praia de Boa Viagem PE,Recife,3994,2025-07-1,2025-07-8,6.6,0.55,8.2,12,2024-6-6
Apto beira-mar Candeias com 2qts,Recife,990,2025-07-1,2025-07-8,17.9,0.0,None,None,2024-6-6
Apartamento temporada,Recife,1190,2025-07-1,2025-07-8,14.1,None,None,None,2024-6-6
Flat no Mercure Navegantes,Recife,1097,2025-07-1,2025-07-8,7.0,None,None,None,2024-6-6
Boa viagem vista mar 3qts,Recife,3150,2025-07-1,2025-07-8,8.5,0.45,9.0,5,2024-6-6
Ótimo Apt de 1qt a 60mts do Consulado EUA,Recife,1546,2025-07-1,2025-07-8,1.2,None,None,None,2024-6-6
Flat em Boa Viagem,Recife,2450,2025-07-1,2025-07-8,6.6,0.4,8.3,3,2024-6-6
Aconchego e Conveniência - Apartamento para 2pessoas a 2min da Praia de Boa viagem - 1 Quarto com Ar-Condicionado - Wi-Fi e Mobilia COMPLETA '' Localização Privilegiada com Custo-Beneficio Imbatível em Recife!'' -Promoção Exclusiva-,Recife,1687,2025-07-1,2025-07-8,5.8,0.25,8.2,5,2024-6-6
Paiva home stay,Recife,1339,2025-07-1,2025-07-8,18.9,None,None,None,2024-6-6
Cantinho especial de Piedade,Recife,1130,2025-07-1,2025-07-8,15.6,0.95,10.0,1,2024-6-6
Flat próximo à UFPE e ao HC,Recife,1400,2025-07-1,2025-07-8,7.5,None,None,None,2024-6-6
Apartamento e Suítes Mobiliada Climatizada Campo Grande,Recife,1553,2025-07-1,2025-07-8,2.6,1.4,9.0,1,2024-6-6
Flat Premium UFPE-UFRPE - Hospital das Clinicas - Andar alto - CAXANGA,Recife,922,2025-07-1,2025-07-8,7.5,None,None,None,2024-6-6
Flat #2506 BARRA HOME STAY,Recife,1785,2025-07-1,2025-07-8,19.5,None,9.8,5,2024-6-6
Kitnet 1 quarto com banheiro carnaval recife  condomínio fechado,Recife,1339,2025-07-1,2025-07-8,6.3,2.7,None,None,2024-6-6
Quartos em apartamento rústico e aconchegante,Recife,840,2025-07-1,2025-07-8,3.2,None,None,None,2024-6-6
Flat em Boa Viagem Rooftop 470 Conforto e Localização privilegiada,Recife,4536,2025-07-1,2025-07-8,6.4,0.55,9.3,14,2024-6-6
Pousada Shalom,Recife,1190,2025-07-1,2025-07-8,4.8,None,None,None,2024-6-6
Apartamento 2 quartos 1km da Praia,Recife,2475,2025-07-1,2025-07-8,6.4,1.5,10.0,2,2024-6-6
Edf: rubi,Recife,2678,2025-07-1,2025-07-8,1.5,None,10.0,2,2024-6-6
Apartamento1001 com vista para mar e Piscina na cobertura,Recife,2100,2025-07-1,2025-07-8,4.5,None,None,None,2024-6-6
Piscina no Rooftop! Exclusivo ''Apartamento Compacto com Design Moderno e Infraestrutura Completa em Boa viagem - Estacionamento e Portaria 24h! Roupas de Cama Toalhas e mimos inclusos!'',Recife,2685,2025-07-1,2025-07-8,6.2,0.8,9.3,3,2024-6-6
Aurora Recife Hostel,Recife,1176,2025-07-1,2025-07-8,1.1,None,None,None,2024-6-6
Studio 06 da Boa Vista,Recife,819,2025-07-1,2025-07-8,1.3,None,None,None,2024-6-6
Estadia em Boa viagem Recife,Recife,1487,2025-07-1,2025-07-8,7.7,None,10.0,1,2024-6-6
Lindo apartamento em Recife,Recife,1017,2025-07-1,2025-07-8,3.6,None,1.0,2,2024-6-6
Excelente Apartamento! Custo benefício. Tudo perto,Recife,2552,2025-07-1,2025-07-8,3.1,None,10.0,1,2024-6-6
Cosy Madison vista ao Mar,Recife,1372,2025-07-1,2025-07-8,9.7,0.0,None,None,2024-6-6
Flat Pé na Areia Recife-Piedade,Recife,2261,2025-07-1,2025-07-8,12.6,0.0,None,None,2024-6-6
Bugan Paiva/ Home stay,Recife,1455,2025-07-1,2025-07-8,19.6,None,None,None,2024-6-6
FLAT IMPERIAL SUITES Boa Viagem,Recife,1874,2025-07-1,2025-07-8,7.2,None,None,None,2024-6-6
Pousada pirata,Recife,1008,2025-07-1,2025-07-8,18.7,None,None,None,2024-6-6
Rio Park Ave Sea View Central - By TRH Invest,Recife,2829,2025-07-1,2025-07-8,12.2,0.5,None,None,2024-6-6
Kitnet recife carnaval 2024,Recife,1487,2025-07-1,2025-07-8,6.3,2.7,4.0,1,2024-6-6
Flat Super Luxo - Boa Viagem,Recife,3010,2025-07-1,2025-07-8,6.4,0.55,None,None,2024-6-6
Apartamento Boa Viagem,Recife,2836,2025-07-1,2025-07-8,8.1,None,None,None,2024-6-6
Casa primeiro andar em Piedade Jaboatão/PE,Recife,1333,2025-07-1,2025-07-8,14.8,None,None,None,2024-6-6
Lindo Apartamento Av. Boa Viagem. 2Qts. Cozinha completa,Recife,3479,2025-07-1,2025-07-8,4.0,0.1,10.0,1,2024-6-6
Flat em Boa Viagem,Recife,4760,2025-07-1,2025-07-8,9.9,0.8,None,None,2024-6-6
Pousada pirata,Recife,1476,2025-07-1,2025-07-8,18.7,None,None,None,2024-6-6
EDF: RUBI 184,Recife,4123,2025-07-1,2025-07-8,1.5,None,8.0,1,2024-6-6
Flat boa viagem 1,Recife,3749,2025-07-1,2025-07-8,7.8,0.65,7.0,1,2024-6-6
Seu lugar no Carnaval do Recife!,Recife,4788,2025-07-1,2025-07-8,0.45,2.1,None,None,2024-6-6
Flat em Boa Viagem,Recife,4760,2025-07-1,2025-07-8,9.9,0.8,None,None,2024-6-6
Casa poucos metros do mar Cabo de Sto Agostinho,Recife,2457,2025-07-1,2025-07-8,14.8,0.0,None,None,2024-6-6
Conforto e Localização,Recife,2142,2025-07-1,2025-07-8,8.9,None,4.0,1,2024-6-6
Atlantic Hall,Recife,3273,2025-07-1,2025-07-8,16.8,0.15,None,None,2024-6-6
Radisson Hotel ap 801,Recife,10115,2025-07-1,2025-07-8,5.7,0.15,None,None,2024-6-6
Apt só para Carnaval no mês de fevereiro do 10 até 14 só temporada,Recife,3724,2025-07-1,2025-07-8,0.4,2.8,None,None,2024-6-6
Apt candeias,Recife,1714,2025-07-1,2025-07-8,16.7,0.55,None,None,2024-6-6
Apto 3/4 Mobiliado em Recife Cond. CLUBE,Recife,5950,2025-07-1,2025-07-8,6.5,1.8,None,None,2024-6-6
FLATS ROSARINHO PRINCE SPRING,Recife,3318,2025-07-1,2025-07-8,3.1,None,1.0,2,2024-6-6
Apto Carnaval 2024 Ed Camilla,Recife,5600,2025-07-1,2025-07-8,4.8,None,None,None,2024-6-6
Boa Viagem Piedade Beach,Recife,2345,2025-07-1,2025-07-8,14.8,0.0,None,None,2024-6-6
Edf: RUBI,Recife,4284,2025-07-1,2025-07-8,1.5,None,None,None,2024-6-6
BV Paradiso,Recife,10064,2025-07-1,2025-07-8,5.6,0.0,10.0,1,2024-6-6
Flat Beira Mar,Recife,14000,2025-07-1,2025-07-8,4.1,0.0,None,None,2024-6-6
Apduplex,Recife,13388,2025-07-1,2025-07-8,8.5,0.15,None,None,2024-6-6
Mercure Navegantes Recife Hotel,Recife,2419,2025-07-1,2025-07-8,7.0,None,10.0,1,2024-6-6
APTO mobiliado Candeias JBO/PE,Recife,619,2025-07-1,2025-07-8,18.1,1.2,8.0,1,2024-6-6
Quarto Litoral Sul,Recife,1418,2025-07-1,2025-07-8,4.5,0.15,1.0,1,2024-6-6
Apart Hotel Marinas Tamandaré,Recife,958,2025-07-1,2025-07-8,4.8,None,1.0,1,2024-6-6
Praia de Piedade. Próximo ao mar. Vista lateral do mar.,Recife,1596,2025-07-1,2025-07-8,15.0,None,None,None,2024-6-6
flatpaivahome bugan paiva,Recife,1886,2025-07-1,2025-07-8,19.6,0.7,None,None,2024-6-6
Apt novíssimo Tamarineira,Recife,3150,2025-07-1,2025-07-8,4.1,None,10.0,4,2024-6-6
Apto a beira-mar em Jaboatao dos Guararapes PE,Recife,2045,2025-07-1,2025-07-8,19.4,0.6,9.0,2,2024-6-6
Flat no melhor lugar de boa viagem,Recife,4543,2025-07-1,2025-07-8,4.5,0.2,10.0,1,2024-6-6
Hostel da Socorro,Recife,2835,2025-07-1,2025-07-8,9.0,0.9,1.0,1,2024-6-6
Lindo apto à beira-mar Jaboatão dos Guararapes - PE,Recife,2816,2025-07-1,2025-07-8,16.6,0.5,7.0,1,2024-6-6
Aconchego Boa Viagem,Recife,4032,2025-07-1,2025-07-8,8.4,None,None,None,2024-6-6
Casa para Carnaval,Recife,16380,2025-07-1,2025-07-8,5.6,None,None,None,2024-6-6
Cond Clube em Piedade noCarnaval,Recife,11246,2025-07-1,2025-07-8,15.7,1.0,None,None,2024-6-6
Aconchegante Apto de 1qt a 60mts do Consulado EUA,Recife,1011,2025-07-8,2025-07-15,1.2,None,9.7,36,2024-6-6
Veja o mar no silêncio do centro! Hospede-se no quarto,Recife,428,2025-07-8,2025-07-15,0.2,2.5,8.3,3,2024-6-6
Lindo APT Cinza à 50m do mar - Praia de Boa Viagem,Recife,838,2025-07-8,2025-07-15,5.8,None,10.0,1,2024-6-6
Lindo APT Azul a 50 metros do mar - Praia de Boa Viagem,Recife,750,2025-07-8,2025-07-15,5.8,None,10.0,5,2024-6-6
Flat aconchegante em Boa Viagem,Recife,803,2025-07-8,2025-07-15,4.7,0.0,None,None,2024-6-6
Hotel Fit transamérica,Recife,1021,2025-07-8,2025-07-15,7.0,None,9.3,4,2024-6-6
Transamerica Fit Recife,Recife,2264,2025-07-8,2025-07-15,7.0,0.65,8.3,5177,2024-6-6
Dublê Hotel - The Original,Recife,1558,2025-07-8,2025-07-15,6.5,0.15,7.7,1160,2024-6-6
BEIRA MAR- FLAT EXECUTIVE,Recife,1695,2025-07-8,2025-07-15,4.2,0.0,9.2,67,2024-6-6
Hotel Dan Inn Mar Piedade - Grande Recife,Recife,2023,2025-07-8,2025-07-15,13.7,0.0,7.8,2778,2024-6-6
Duplex,Recife,714,2025-07-8,2025-07-15,0.7,None,9.4,7,2024-6-6
Casa Recife Pousada,Recife,468,2025-07-8,2025-07-15,8.2,1.1,7.1,602,2024-6-6
Qto Duplo próximo ao Shopping Recife,Recife,625,2025-07-8,2025-07-15,8.1,None,10.0,3,2024-6-6
Roomo Praia de Boa Viagem Residencial,Recife,2478,2025-07-8,2025-07-15,8.7,0.35,8.1,1169,2024-6-6
Beira-mar Boa Viagem - Costa Vicentina by Bnb Flex,Recife,1575,2025-07-8,2025-07-15,10.2,0.5,8.5,873,2024-6-6
Flat mobiliado na rua da Aurora,Recife,809,2025-07-8,2025-07-15,0.45,None,7.2,5,2024-6-6
Flat Beach Class Executive,Recife,1066,2025-07-8,2025-07-15,4.3,0.0,10.0,1,2024-6-6
Apartamento em Recife,Recife,893,2025-07-8,2025-07-15,6.8,None,10.0,3,2024-6-6
Marante Executive Hotel,Recife,2262,2025-07-8,2025-07-15,4.4,0.4,8.8,3119,2024-6-6
Transamerica Prestige Recife - Boa Viagem,Recife,3052,2025-07-8,2025-07-15,4.3,0.0,8.4,1557,2024-6-6
Studio com varanda - Melhor localização do Arruda,Recife,682,2025-07-8,2025-07-15,3.6,None,9.0,1,2024-6-6
Hotel Pousada Casa Grande,Recife,1190,2025-07-8,2025-07-15,11.5,None,8.0,2,2024-6-6
Flat Premium Recife-Ilha do leite,Recife,1045,2025-07-8,2025-07-15,1.7,None,9.0,8,2024-6-6
Aconchegante Flat na Orla,Recife,916,2025-07-8,2025-07-15,14.2,0.0,8.0,175,2024-6-6
Apartamento Moderno e Tranquilo,Recife,952,2025-07-8,2025-07-15,7.4,None,9.9,7,2024-6-6
Apartamento Flat em Boa Viagem,Recife,1178,2025-07-8,2025-07-15,6.5,None,9.8,9,2024-6-6
Oxen Hostel 2024,Recife,226,2025-07-8,2025-07-15,0.45,None,6.2,6,2024-6-6
Lindo apartamento a 350m do mar!,Recife,857,2025-07-8,2025-07-15,14.1,None,10.0,2,2024-6-6
Hotel Euro Suíte Recife Boa Viagem,Recife,3599,2025-07-8,2025-07-15,8.1,0.5,7.8,3102,2024-6-6
Loft Portal Beach,Recife,714,2025-07-8,2025-07-15,3.6,0.25,7.3,3,2024-6-6
Flat em Boa Viagem 100% Equipado,Recife,1666,2025-07-8,2025-07-15,6.4,0.55,9.9,30,2024-6-6
NovoHotell Recife,Recife,2651,2025-07-8,2025-07-15,1.5,None,8.1,3695,2024-6-6
Flat Luxury Chelsea frente ao Dona Lindu,Recife,1774,2025-07-8,2025-07-15,9.7,None,8.0,4,2024-6-6
Ap próx shopping aeroporto,Recife,714,2025-07-8,2025-07-15,7.3,1.7,7.9,18,2024-6-6
Hotel Nacional Inn Recife Aeroporto,Recife,2164,2025-07-8,2025-07-15,8.0,1.2,7.1,1622,2024-6-6
Espaço jeito de casa.,Recife,756,2025-07-8,2025-07-15,6.3,0.35,9.7,3,2024-6-6
Fity Hotel,Recife,3465,2025-07-8,2025-07-15,7.3,0.25,8.7,3792,2024-6-6
Sonho dos golfinhos,Recife,739,2025-07-8,2025-07-15,38.9,1.1,9.4,14,2024-6-6
Flat confortavel,Recife,1224,2025-07-8,2025-07-15,7.9,None,None,None,2024-6-6
Aconchegante ótima localização e vista para o mar,Recife,1922,2025-07-8,2025-07-15,0.3,2.6,8.3,9,2024-6-6
Pousada Solar do Lazer,Recife,268,2025-07-8,2025-07-15,0.5,None,6.0,3,2024-6-6
Hostel Recife,Recife,230,2025-07-8,2025-07-15,0.45,None,None,None,2024-6-6
My House Boa Viagem,Recife,1418,2025-07-8,2025-07-15,7.9,None,None,None,2024-6-6
Duplex,Recife,714,2025-07-8,2025-07-15,0.7,None,None,None,2024-6-6
Apartamento próximo ao aeroporto e praia,Recife,809,2025-07-8,2025-07-15,9.0,0.9,5.3,3,2024-6-6
Flat Luxury Soho frente na praia de Boa Viagem,Recife,1312,2025-07-8,2025-07-15,9.7,0.0,None,None,2024-6-6
Flat do lado Shopping Boa Vista,Recife,809,2025-07-8,2025-07-15,0.7,None,1.0,1,2024-6-6
quintal293,Recife,1386,2025-07-8,2025-07-15,0.4,2.2,9.9,9,2024-6-6
Stay Residence - CASA COMPARTILHADA,Recife,504,2025-07-8,2025-07-15,1.0,None,6.6,21,2024-6-6
Flats de Luxo by BnbFlex - Costa Vicentina,Recife,1597,2025-07-8,2025-07-15,10.2,0.1,8.3,10,2024-6-6
Apartamento bem localizado prox. à praia,Recife,714,2025-07-8,2025-07-15,7.5,0.25,None,None,2024-6-6
Apart Hotel Beach Class HÔM - 1902,Recife,1618,2025-07-8,2025-07-15,6.6,None,10.0,2,2024-6-6
Casa da Esquina Pousada,Recife,532,2025-07-8,2025-07-15,9.4,1.1,6.7,930,2024-6-6
APARTAMENTO NO MELHOR DE BOA VIAGEM,Recife,991,2025-07-8,2025-07-15,9.0,0.9,10.0,1,2024-6-6
Apartamento três quartos no centro do Recife,Recife,809,2025-07-8,2025-07-15,0.2,None,9.0,1,2024-6-6
Casa do Meio Pousada,Recife,580,2025-07-8,2025-07-15,9.4,1.1,6.7,704,2024-6-6
STAY POUSADA,Recife,956,2025-07-8,2025-07-15,1.4,None,6.9,56,2024-6-6
Casa perto do Centro de Convenções,Recife,762,2025-07-8,2025-07-15,3.3,None,10.0,1,2024-6-6
Studio 51 residence,Recife,790,2025-07-8,2025-07-15,15.5,0.1,7.9,398,2024-6-6
Aram Beach Boa Viagem,Recife,2146,2025-07-8,2025-07-15,8.2,0.1,7.6,3643,2024-6-6
Moradia dos sonhos 30 m da praia,Recife,1180,2025-07-8,2025-07-15,7.9,None,None,None,2024-6-6
Espaço inteiro a beira mar,Recife,1428,2025-07-8,2025-07-15,7.0,None,None,None,2024-6-6
Apto em boa viagem novo e lindo,Recife,1386,2025-07-8,2025-07-15,10.0,None,10.0,3,2024-6-6
Apartamento no Coração de Recife 3 Centro,Recife,961,2025-07-8,2025-07-15,0.45,2.9,10.0,2,2024-6-6
BlubellaRecife,Recife,857,2025-07-8,2025-07-15,7.7,None,None,None,2024-6-6
Flat- Boa Viagem- Recife -Pernambuco,Recife,1008,2025-07-8,2025-07-15,6.8,None,10.0,1,2024-6-6
Flat Beira Mar Beach Class,Recife,1747,2025-07-8,2025-07-15,4.3,0.1,6.8,4,2024-6-6
Apartamento aconchegante no centro,Recife,876,2025-07-8,2025-07-15,0.3,None,None,None,2024-6-6
Apt aconchegante e central,Recife,643,2025-07-8,2025-07-15,1.4,None,None,None,2024-6-6
Apartamento em Boa Viagem,Recife,2100,2025-07-8,2025-07-15,9.0,0.5,7.7,6,2024-6-6
Flat Vista Mar em Boa Viagem,Recife,838,2025-07-8,2025-07-15,4.7,None,None,None,2024-6-6
03 Flat Golden Home Boa Viagem,Recife,1134,2025-07-8,2025-07-15,6.2,None,10.0,1,2024-6-6
Motel Tijuca,Recife,686,2025-07-8,2025-07-15,16.5,None,None,None,2024-6-6
Apartamento Lagoa do Araçá,Recife,669,2025-07-8,2025-07-15,5.2,None,None,None,2024-6-6
Apartamento em boa viagem,Recife,1785,2025-07-8,2025-07-15,7.9,1.1,9.4,38,2024-6-6
Charmoso e Aconchegante,Recife,1960,2025-07-8,2025-07-15,7.3,0.5,9.5,24,2024-6-6
BAIA DE MESQUITA,Recife,1260,2025-07-8,2025-07-15,6.0,None,None,None,2024-6-6
Paiva (Barra Home Stay) Luxuoso - vista incrível 26 andar,Recife,1389,2025-07-8,2025-07-15,19.5,0.0,9.4,26,2024-6-6
Eclipse Motel,Recife,774,2025-07-8,2025-07-15,6.5,None,6.1,14,2024-6-6
Apartamento no Derby,Recife,1575,2025-07-8,2025-07-15,1.6,None,None,None,2024-6-6
QUARTO ARCO-ÍRES-TRIPLO CONFORTO E PRIVACIDADE- Bairro do Espinheiro -RECIFE- PERNAMBUCO,Recife,714,2025-07-8,2025-07-15,1.9,None,10.0,1,2024-6-6
Flat completo e aconchegante,Recife,1114,2025-07-8,2025-07-15,4.0,None,10.0,1,2024-6-6
Flat Brisa - Hotel Mercure Navegantes,Recife,2375,2025-07-8,2025-07-15,7.0,None,None,None,2024-6-6
Flat 1402 - PortoMar Home Club,Recife,1470,2025-07-8,2025-07-15,9.6,None,None,None,2024-6-6
Apartamento 502 de frente para o Mar e Piscina na cobertura,Recife,1680,2025-07-8,2025-07-15,4.5,None,None,None,2024-6-6
Studio D'Roma em Boa Viagem,Recife,1260,2025-07-8,2025-07-15,7.7,0.6,8.5,2,2024-6-6
Apartamento com vista para o Mar e Piscina na cobertura,Recife,1120,2025-07-8,2025-07-15,4.5,None,None,None,2024-6-6
Apartamento de 2 quartos no melhor de Boa Viagem,Recife,1357,2025-07-8,2025-07-15,8.6,None,None,None,2024-6-6
flat 403 Av boa viagem,Recife,714,2025-07-8,2025-07-15,5.7,None,None,None,2024-6-6
Beach Class Boa Viagem - Apartamento em Hotel Transamerica 5 Estrelas Vista para o Mar,Recife,2023,2025-07-8,2025-07-15,4.3,None,10.0,1,2024-6-6
Flat Mar Azul e Sol Dourado,Recife,1428,2025-07-8,2025-07-15,13.6,0.0,None,None,2024-6-6
Flat Pé-na-areia! Um refúgio a Beira-mar! Vista deslumbrante!,Recife,1003,2025-07-8,2025-07-15,14.3,0.0,5.0,2,2024-6-6
Apartamento mobiliado e confortável em candeias,Recife,2741,2025-07-8,2025-07-15,16.8,0.0,9.5,132,2024-6-6
Studio 1401 Praia de Boa Viagem,Recife,1428,2025-07-8,2025-07-15,9.3,0.0,None,None,2024-6-6
Marbelo Pernambuco Hostel,Recife,1637,2025-07-8,2025-07-15,0.4,2.8,8.5,2,2024-6-6
Aptº. Beira Mar com Vista Mar.,Recife,2380,2025-07-8,2025-07-15,10.9,0.0,None,None,2024-6-6
Apartamento agradável de dois quartos perto do Aeroporto e Praia de Boa Viagem.,Recife,1779,2025-07-8,2025-07-15,9.6,0.4,10.0,3,2024-6-6
Flat - Boa viagem- Recife - Poucos metros da praia,Recife,1575,2025-07-8,2025-07-15,10.2,0.5,9.5,2,2024-6-6
Apartamento com Vista Deslumbrante à Beira Mar.,Recife,1339,2025-07-8,2025-07-15,19.5,0.0,9.7,6,2024-6-6
boa viagem vista mar,Recife,2450,2025-07-8,2025-07-15,8.7,0.35,9.5,21,2024-6-6
Casa Aeroporto Pousada,Recife,829,2025-07-8,2025-07-15,9.2,1.6,6.3,504,2024-6-6
Flat moderno em Boa viagem - Recife (6º andar),Recife,1666,2025-07-8,2025-07-15,6.4,0.55,9.3,4,2024-6-6
Apart hotel c WiFi prox a Praia de Boa Viagem PE,Recife,4016,2025-07-8,2025-07-15,6.6,0.55,8.2,12,2024-6-6
Flat Beira Mar Recife - Praia de Piedade,Recife,4480,2025-07-8,2025-07-15,12.6,0.0,9.1,18,2024-6-6
O Flat Beira Mar de Piedade,Recife,1680,2025-07-8,2025-07-15,12.5,None,None,None,2024-6-6
Apartamento temporada,Recife,1190,2025-07-8,2025-07-15,14.1,None,None,None,2024-6-6
Apto beira-mar Candeias com 2qts,Recife,990,2025-07-8,2025-07-15,17.9,0.0,None,None,2024-6-6
Boa viagem vista mar 3qts,Recife,3150,2025-07-8,2025-07-15,8.5,0.45,9.0,5,2024-6-6
Flat no Mercure Navegantes,Recife,1097,2025-07-8,2025-07-15,7.0,None,None,None,2024-6-6
Ótimo Apt de 1qt a 60mts do Consulado EUA,Recife,1546,2025-07-8,2025-07-15,1.2,None,None,None,2024-6-6
Flat em Boa Viagem,Recife,2450,2025-07-8,2025-07-15,6.6,0.4,8.3,3,2024-6-6
Paiva home stay,Recife,1339,2025-07-8,2025-07-15,18.9,None,None,None,2024-6-6
Aconchego e Conveniência - Apartamento para 2pessoas a 2min da Praia de Boa viagem - 1 Quarto com Ar-Condicionado - Wi-Fi e Mobilia COMPLETA '' Localização Privilegiada com Custo-Beneficio Imbatível em Recife!'' -Promoção Exclusiva-,Recife,1687,2025-07-8,2025-07-15,5.8,0.25,8.2,5,2024-6-6
Cantinho especial de Piedade,Recife,1130,2025-07-8,2025-07-15,15.6,0.95,10.0,1,2024-6-6
Apartamento e Suítes Mobiliada Climatizada Campo Grande,Recife,1553,2025-07-8,2025-07-15,2.6,1.4,9.0,1,2024-6-6
Flat próximo à UFPE e ao HC,Recife,1400,2025-07-8,2025-07-15,7.5,None,None,None,2024-6-6
Flat #2506 BARRA HOME STAY,Recife,1785,2025-07-8,2025-07-15,19.5,None,9.8,5,2024-6-6
Kitnet 1 quarto com banheiro carnaval recife  condomínio fechado,Recife,1339,2025-07-8,2025-07-15,6.3,2.7,None,None,2024-6-6
Quartos em apartamento rústico e aconchegante,Recife,840,2025-07-8,2025-07-15,3.2,None,None,None,2024-6-6
Flat em Boa Viagem Rooftop 470 Conforto e Localização privilegiada,Recife,4536,2025-07-8,2025-07-15,6.4,0.55,9.3,14,2024-6-6
Apartamento 2 quartos 1km da Praia,Recife,2475,2025-07-8,2025-07-15,6.4,1.5,10.0,2,2024-6-6
